City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,antofagasta,-23.65,-70.4,58.28,87,100,1.74,CL,1719559525
304,norilsk,69.3535,88.2027,74.41,54,100,17.87,RU,1719559526
305,maceio,-9.6658,-35.7353,69.24,94,20,3.44,BR,1719559335
306,villa gesell,-37.2639,-56.973,42.06,85,13,19.6,AR,1719559529
307,berdigestyakh,62.0989,126.6992,64.35,29,76,8.08,RU,1719559530
308,gamba,-2.65,10,73.45,89,41,5.93,GA,1719559531
309,pleiku,13.9833,108,79.72,78,100,6.11,VN,1719559532
310,alotau,-10.3069,150.4462,77.9,89,69,5.77,PG,1719559533
311,nalut,30.3333,10.85,92.77,13,0,10.69,LY,1719559536
312,laguna,38.421,-121.4238,71.15,56,0,5.75,US,1719559513
313,mili,6.0815,171.735,82.47,81,82,14.94,MH,1719559539
314,revda,56.801,59.9303,63.36,61,100,7.05,RU,1719559541
315,luanda,-8.8368,13.2343,71.6,88,75,5.75,AO,1719559542
316,moorhead,46.8739,-96.7676,66.22,92,100,17.27,US,1719559543
317,margate,51.3813,1.3862,60.91,67,0,15.23,GB,1719559253
318,ilulissat,69.2167,-51.1,41.02,87,100,13.8,GL,1719559547
319,mazamari,-11.3258,-74.5308,71.49,87,98,2.06,PE,1719559548
320,rayadrug,14.7,76.8667,87.39,48,100,20.92,IN,1719559549
321,biloela,-24.4167,150.5,68.99,77,100,3.18,AU,1719559550
322,minas de marcona,-15.2119,-75.1103,54.66,79,32,3,PE,1719559551
323,woodward,36.4337,-99.3904,78.03,94,75,11.5,US,1719559552
324,azul,-36.777,-59.8585,39.74,78,3,10.51,AR,1719559553
325,jambi city,-1.6,103.6167,84.83,84,87,3.31,ID,1719559554
326,avon,41.4517,-82.0354,59.7,90,75,4.61,US,1719559473
327,chernyshevskiy,63.0128,112.4714,75.02,53,100,5.46,RU,1719559557
328,santo antonio do monte,-20.0872,-45.2936,61.68,58,30,1.32,BR,1719559558
329,klyuchi,52.2667,79.1667,93.13,30,34,9.75,RU,1719559559
330,ressano garcia,-25.442,31.9913,67.53,65,4,4,MZ,1719559562
331,vilyuysk,63.7553,121.6247,68.25,32,6,6.02,RU,1719559563
332,polna,49.487,15.7188,73.53,75,20,6.06,CZ,1719559565
333,san patricio,28.017,-97.5169,85.89,87,0,8.34,US,1719559131
334,pakuranga,-36.8833,174.9167,52.32,73,68,4.61,NZ,1719559568
335,ust'-kulom,61.6864,53.6902,60.03,42,2,8.46,RU,1719559569
336,isla vista,34.4133,-119.861,63.45,86,0,3.44,US,1719559570
337,itupiranga,-5.1347,-49.3267,79.12,77,0,2.37,BR,1719559571
338,cill airne,52.05,-9.5167,53.65,82,100,6.91,IE,1719559572
339,upata,8.0086,-62.3989,75.2,97,100,2.37,VE,1719559573
340,bikaner,28.0167,73.3,95.77,45,100,5.12,IN,1719559574
341,bori,4.6737,7.362,78.33,88,100,1.86,NG,1719559575
342,bikenibeu village,1.3673,173.1241,85.96,74,40,8.05,KI,1719559577
343,canoinhas,-26.1772,-50.39,45.63,77,100,2.57,BR,1719559578
344,lethem,3.3803,-59.7968,73.56,93,97,5.3,GY,1719559580
345,jackson,42.4165,-122.8345,58.06,69,100,1.86,US,1719559430
346,vieste,41.8825,16.175,79.29,57,0,6.58,IT,1719559583
347,kyaikkami,16.08,97.5675,83.34,78,32,11.3,MM,1719559584
348,malango,-2.9627,119.9001,79.7,69,93,4.5,ID,1719559585
349,kuta,-8.7233,115.1723,85.95,79,20,12.66,ID,1719559586
350,mazagao,-0.115,-51.2894,77.05,99,21,3.47,BR,1719559587
351,martapura,-3.4167,114.85,89.69,70,40,8.05,ID,1719559588
352,novoagansk,61.9449,76.6625,71.67,54,26,14.56,RU,1719559589
353,polyarnyy,69.1989,33.4478,57.07,67,70,0.85,RU,1719559590
354,glendive,47.1053,-104.7125,56.75,82,0,9.22,US,1719559592
355,nosy varika,-20.5833,48.5333,68.61,65,100,3.89,MG,1719559593
356,tangalle,6.024,80.7911,91.56,57,86,15.05,LK,1719559594
357,tiksi,71.6872,128.8694,49.05,52,62,6.35,RU,1719559595
358,black river,18.0264,-77.8487,78.57,86,100,5.1,JM,1719559596
359,strathmore,51.0501,-113.3852,51.35,93,100,21.85,CA,1719559597
360,taoudenni,22.6783,-3.9836,97.2,8,99,19.98,ML,1719559598
361,encruzilhada do sul,-30.5439,-52.5219,47.97,84,100,8.43,BR,1719559599
362,ribeira brava,32.65,-17.0667,68.63,69,0,2.84,PT,1719559601
363,ghat,24.9647,10.1728,90.73,14,0,6.53,LY,1719559453
364,krasnogvardeyskoye,45.8456,41.5186,79.18,37,6,8.72,RU,1719559603
